Compound_code	Compound_name	Output_metabolite_score	Simulated_Mean	Simulated_Std_Dev	Relationship_to_Mean	Significance	Indegree	Outdegree
C04895	7,8-Dihydroneopterin_3'-triphosphate	172.0	31.658	57.6	above	**	2	0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	144.0	121.431	304.0	above	n.s.	4	4
C00376	Retinal	88.0	40.287	69.6	above	n.s.	2	0
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin	2070.0	222.793	324.0	above	***	6	0
C00455	Nicotinamide_D-ribonucleotide	0.0	0.0	0.0	equal	NA	0	1
C01697	Galactitol	0.0	0.0	0.0	equal	NA	0	6
C15972	Enzyme_N6-(lipoyl)lysine	640.0	155.784	240.0	above	**	4	6
C16618	6-Thioxanthine_5'-monophosphate	139.0	6.969	11.8	above	***	1	1
C00330	Deoxyguanosine	0.0	0.0	0.0	equal	NA	0	2
C00332	Acetoacetyl-CoA	109886.0	1149.999	3393.6	above	***	14	9
C00334	4-Aminobutanoate	84.0	69.023	231.2	above	n.s.	4	2
C00337	(S)-Dihydroorotate	10.0	12.319	12.2	below	n.s.	1	3
C05699	L-Selenocystathionine	0.0	0.0	0.0	equal	NA	0	1
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	1062.0	85.268	190.8	above	***	3	3
C04122	D-1-Aminopropan-2-ol_O-phosphate	22.0	6.086	22.6	above	n.s.	1	1
C00636	D-Mannose_1-phosphate	30.0	7.392	10.4	above	**	1	3
C00637	Indole-3-acetaldehyde	0.0	0.0	0.0	equal	NA	0	2
C00630	2-Methylpropanoyl-CoA	0.0	0.0	0.0	equal	NA	0	3
C00631	2-Phospho-D-glycerate	4182.0	44.836	123.6	above	***	3	20
C02527	Butanoylphosphate	406.0	14.255	58.0	above	***	2	2
C16221	(2E)-Octadecenoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C00208	Maltose	0.0	0.0	0.0	equal	NA	0	4
C01001	Formylmethanofuran	10.0	7.403	17.0	above	n.s.	1	6
C05985	2-Propynal	0.0	0.0	0.0	equal	NA	0	1
C00204	2-Dehydro-3-deoxy-D-gluconate	552.0	41.811	166.8	above	***	3	5
C01212	UDP-N-acetylmuramoyl-L-alanine	356.0	24.606	58.4	above	***	2	4
C07490	Trichloroethanol	22.0	10.072	17.4	above	n.s.	1	0
C01217	5,6,7,8-Tetrahydromethanopterin	0.0	0.0	0.0	equal	NA	0	4
C00025	L-Glutamate	43002.0	1906.118	5464.8	above	***	18	32
C00024	Acetyl-CoA	614394.0	3281.242	17602.2	above	***	33	89
C00148	L-Proline	6096.0	612.581	1174.4	above	***	8	7
C00026	2-Oxoglutarate	81811.0	1607.935	8454.8	above	***	23	20
C00021	S-Adenosyl-L-homocysteine	17.0	6.468	20.6	above	n.s.	1	4
C00020	AMP	3116.0	45.113	148.0	above	***	4	5
C00022	Pyruvate	437353.0	4462.845	26049.4	above	***	43	49
C00143	5,10-Methylenetetrahydrofolate	426.0	45.259	153.0	above	**	3	5
C00140	N-Acetyl-D-glucosamine	0.0	0.0	0.0	equal	NA	0	1
C00141	3-Methyl-2-oxobutanoic_acid	48.0	529.017	1168.0	below	n.s.	8	6
C00029	UDP-glucose	1464.0	97.459	662.4	above	**	6	15
C00147	Adenine	4452.0	160.567	729.4	above	***	7	3
C00144	GMP	6000.0	367.347	1136.0	above	***	10	2
C03740	(5-L-Glutamyl)-L-amino_acid	7.0	5.314	11.6	above	n.s.	1	0
C01079	Protoporphyrinogen_IX	378.0	57.318	172.8	above	*	3	0
C05748	trans-Hex-2-enoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C05807	2-Polyprenylphenol	0.0	0.0	0.0	equal	NA	0	3
C05729	R-S-Cysteinylglycine	7.0	5.314	11.6	above	n.s.	1	2
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	104.0	34.908	68.8	above	*	2	7
C11437	1-Deoxy-D-xylulose_5-phosphate	680.0	226.967	449.0	above	*	5	2
C00644	D-Mannitol_1-phosphate	918.0	22.429	47.6	above	***	2	1
C06319	Precorrin_6Y	13.0	9.135	16.6	above	n.s.	1	1
C02739	1-(5-Phospho-D-ribosyl)-ATP	48.0	23.406	286.4	above	n.s.	4	8
C00647	Pyridoxamine_phosphate	19.0	10.107	21.8	above	n.s.	1	1
C05726	S-Substituted_L-cysteine	570.0	13.914	40.0	above	***	2	0
C00705	dCDP	355.0	176.522	290.0	above	n.s.	5	1
C06250	Holo-[carboxylase]	4590.0	132.707	558.0	above	***	6	1
C01242	S-Aminomethyldihydrolipoylprotein	48.0	22.542	78.8	above	n.s.	2	2
C02631	2-Isopropylmaleate	0.0	1073.033	1140.0	below	n.s.	10	2
C02637	3-Dehydroshikimate	40.0	30.252	44.0	above	n.s.	2	2
C03194	(R)-1-Aminopropan-2-ol	0.0	0.0	0.0	equal	NA	0	1
C04419	Carboxybiotin-carboxyl-carrier_protein	223.0	3.655	23.2	above	***	1	4
C01528	Hydrogen_selenide	555.0	8.602	21.0	above	***	1	0
C02938	3-Indoleacetonitrile	0.0	0.0	0.0	equal	NA	0	1
C00750	Spermine	27.0	15.484	37.8	above	n.s.	3	1
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	4.0	18.173	46.4	below	n.s.	2	2
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	180.0	78.584	140.4	above	n.s.	3	3
C00763	D-Proline	7884.0	22.825	43.2	above	***	2	2
C01134	Pantetheine_4'-phosphate	459.0	96.84	123.0	above	**	3	2
C01137	S-Adenosylmethioninamine	24.0	114.554	235.2	below	n.s.	4	4
C00092	D-Glucose_6-phosphate	16890.0	564.574	1704.0	above	***	10	0
C06035	4-Methylene-2-oxoglutarate	260.0	6.693	64.0	above	***	2	1
C02226	2-Methylmaleate	0.0	1545.168	1641.6	below	n.s.	12	8
C03511	L-Phenylalanyl-tRNA(Phe)	77.0	8.28	18.2	above	***	1	0
C03512	L-Tryptophanyl-tRNA(Trp)	62.0	8.523	17.6	above	***	1	0
C06033	Parapyruvate	65.0	1.673	16.0	above	***	1	2
C12147	L-Threonine_O-3-phosphate	14.0	9.769	10.4	above	n.s.	1	1
C00329	D-Glucosamine	0.0	0.0	0.0	equal	NA	0	2
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	1935.0	107.61	470.0	above	***	5	3
C06408	Precorrin_8X	0.0	0.0	0.0	equal	NA	0	2
C02741	Phosphoribosyl-AMP	144.0	121.431	304.0	above	n.s.	4	4
C06407	Precorrin_4	68.0	35.2	86.4	above	n.s.	2	2
C06406	Precorrin_3B	0.0	0.0	0.0	equal	NA	0	2
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	472.0	37.897	84.8	above	***	2	2
C20372	3-Ketoglutaryl-[acp]_methyl_ester	920.0	18.243	28.0	above	***	2	2
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	472.0	37.897	84.8	above	***	2	1
C20376	3-Ketopimeloyl-[acp]_methyl_ester	920.0	18.243	28.0	above	***	2	2
C20375	Glutaryl-[acp]_methyl_ester	0.0	0.0	0.0	equal	NA	0	2
C20374	Enoylglutaryl-[acp]_methyl_ester	172.0	27.551	54.4	above	**	2	0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	34.0	9.529	15.0	above	*	1	1
C20378	Enoylpimeloyl-[acp]_methyl_ester	43.0	6.888	13.6	above	**	1	0
C00804	Propynoate	4.0	6.741	13.4	below	n.s.	1	0
C00969	3-Hydroxypropanal	0.0	0.0	0.0	equal	NA	0	1
C11545	Cobalt-precorrin_8	48.0	33.178	48.0	above	n.s.	2	2
C00966	2-Dehydropantoate	195.0	203.258	314.0	below	n.s.	5	1
C11540	Cobalt-precorrin_4	68.0	35.2	86.4	above	n.s.	2	2
C11542	Cobalt-precorrin_6	80.0	38.483	43.2	above	n.s.	2	2
C11543	Cobalt-dihydro-precorrin_6	52.0	36.538	66.4	above	n.s.	2	2
C02282	Glutaminyl-tRNA	60.0	7.499	16.4	above	***	1	1
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	64.0	76.667	364.8	below	n.s.	4	8
C00415	Dihydrofolate	120.0	38.913	41.6	above	*	2	0
C00416	Phosphatidate	708.0	238.797	468.0	above	*	6	4
C00417	cis-Aconitate	640.0	581.52	652.8	above	n.s.	8	6
C03460	2-Methylprop-2-enoyl-CoA	10503.0	51.982	172.8	above	***	3	0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	136.0	38.116	60.0	above	*	2	2
C03345	2-Methylbut-2-enoyl-CoA	10503.0	51.982	172.8	above	***	3	1
C00993	D-Alanyl-D-alanine	99.0	87.184	113.4	above	n.s.	3	2
C00620	alpha-D-Ribose_1-phosphate	0.0	0.0	0.0	equal	NA	0	4
C11355	4-Amino-4-deoxychorismate	62.0	15.2	80.4	above	n.s.	2	1
C05951	Leukotriene_D4	28.0	21.257	46.4	above	n.s.	2	0
C05576	3,4-Dihydroxyphenylethyleneglycol	3412.0	19.944	76.8	above	***	2	2
C05577	3,4-Dihydroxymandelaldehyde	3412.0	19.944	76.8	above	***	2	2
C03263	Coproporphyrinogen_III	0.0	0.0	0.0	equal	NA	0	3
C00378	Thiamine	35.0	9.239	14.2	above	*	1	1
C00242	Guanine	2490.0	178.15	600.0	above	***	6	7
C00245	Taurine	0.0	0.0	0.0	equal	NA	0	1
C00246	Butanoic_acid	465.0	35.14	141.0	above	***	3	3
C00624	N-Acetyl-L-glutamate	0.0	151.658	250.0	below	n.s.	5	5
C16587	3-Carbamoyl-2-phenylpropionaldehyde	22.0	10.072	17.4	above	n.s.	1	0
C02170	Methylmalonate	4.0	6.741	13.4	below	n.s.	1	0
C00568	4-Aminobenzoate	12.0	7.965	11.6	above	n.s.	1	4
C01099	L-Fuculose_1-phosphate	0.0	0.0	0.0	equal	NA	0	1
C01097	D-Tagatose_6-phosphate	0.0	0.0	0.0	equal	NA	0	10
C01096	Sorbitol_6-phosphate	45.0	34.624	159.0	above	n.s.	3	1
C01094	D-Fructose_1-phosphate	1044.0	84.034	592.8	above	*	6	3
C05682	Phosphonoacetate	0.0	0.0	0.0	equal	NA	0	2
C00341	Geranyl_diphosphate	162.0	122.691	149.4	above	n.s.	3	3
C00342	Thioredoxin	4995.0	77.421	189.0	above	***	3	7
C00343	Thioredoxin_disulfide	1692.0	279.783	504.0	above	**	6	2
C00344	Phosphatidylglycerol	0.0	0.0	0.0	equal	NA	0	4
C05684	Selenite	0.0	0.0	0.0	equal	NA	0	1
C00061	FMN	432.0	78.584	156.6	above	**	3	1
C00060	Carboxylate	28.0	9.952	15.4	above	*	1	0
C00063	CTP	0.0	0.0	0.0	equal	NA	0	10
C00062	L-Arginine	0.0	0.0	0.0	equal	NA	0	3
C00065	L-Serine	3204.0	360.854	1197.0	above	**	9	14
C00064	L-Glutamine	9178.0	982.009	2979.6	above	**	13	18
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	63.0	94.152	158.4	below	n.s.	3	10
C16633	5-Fluorouridine	0.0	0.0	0.0	equal	NA	0	1
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	0.0	0.0	0.0	equal	NA	0	2
C16631	alpha-Fluoro-beta-ureidopropionic_acid	4.0	7.31	16.6	below	n.s.	1	0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	605.0	76.381	316.0	above	*	5	4
C16635	5'-Deoxy-5-fluorocytidine	0.0	0.0	0.0	equal	NA	0	1
C16634	5-Fluorouridine_monophosphate	11.0	6.675	15.2	above	n.s.	1	0
C19673	Malonyl-[acp]_methyl_ester	0.0	0.0	0.0	equal	NA	0	2
C03752	2-Amino-2-deoxy-D-gluconate	0.0	0.0	0.0	equal	NA	0	8
C05923	2,5-Diaminopyrimidine_nucleoside_triphosphate	172.0	31.658	57.6	above	**	2	2
C05922	Formamidopyrimidine_nucleoside_triphosphate	172.0	31.658	57.6	above	**	2	2
C05921	Biotinyl-5'-AMP	8.0	41.369	64.8	below	n.s.	2	2
C00748	Siroheme	4.0	34.465	77.6	below	n.s.	2	1
C04079	N-((R)-Pantothenoyl)-L-cysteine	0.0	0.0	0.0	equal	NA	0	1
C00668	alpha-D-Glucose_6-phosphate	13414.0	2529.841	6498.0	above	*	19	13
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil	324.0	23.651	60.8	above	***	2	2
C00666	LL-2,6-Diaminoheptanedioate	700.0	80.411	483.0	above	*	5	4
C00663	beta-D-Glucose_1-phosphate	10.0	10.361	13.2	below	n.s.	1	1
C02163	L-Arginyl-tRNA(Arg)	54.0	7.127	12.0	above	***	1	0
C00988	2-Phosphoglycolate	0.0	0.0	0.0	equal	NA	0	3
C00989	4-Hydroxybutanoic_acid	0.0	0.0	0.0	equal	NA	0	1
C00114	Choline	2.0	7.521	15.2	below	n.s.	1	0
C00117	D-Ribose_5-phosphate	37450.0	797.73	2562.0	above	***	14	14
C00116	Glycerol	6.0	10.365	14.6	below	n.s.	1	1
C00111	Glycerone_phosphate	204036.0	1758.461	6211.8	above	***	21	6
C02380	6-Mercaptopurine	0.0	0.0	0.0	equal	NA	0	1
C00112	CDP	284.0	17.781	58.8	above	***	2	5
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	15054.0	558.159	3060.2	above	***	13	7
C00118	D-Glyceraldehyde_3-phosphate	199144.0	669.986	7713.2	above	***	22	39
C06416	Precorrin_5	104.0	26.581	87.2	above	n.s.	2	0
C11929	Perillyl-CoA	0.0	0.0	0.0	equal	NA	0	3
C01346	dUDP	105.0	69.315	118.2	above	n.s.	3	1
C11924	Perillic_acid	16.0	26.964	53.6	below	n.s.	2	0
C05750	3-Oxooctanoyl-[acp]	3232.0	71.169	168.8	above	***	4	2
C05751	trans-Oct-2-enoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C14145	(3S)-3-Hydroxyadipyl-CoA	0.0	0.0	0.0	equal	NA	0	4
C05753	3-Oxodecanoyl-[acp]	3232.0	71.169	168.8	above	***	4	2
C05754	trans-Dec-2-enoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C05755	Decanoyl-[acp]	1179.0	86.998	86.4	above	***	3	3
C05756	3-Oxododecanoyl-[acp]	2070.0	41.046	63.0	above	***	3	3
C05757	(R)-3-Hydroxydodecanoyl-[acp]	1062.0	85.268	190.8	above	***	3	3
C05758	trans-Dodec-2-enoyl-[acp]	387.0	61.989	122.4	above	**	3	3
C05759	3-Oxotetradecanoyl-[acp]	2070.0	41.046	63.0	above	***	3	3
C05811	2-Octaprenyl-6-hydroxyphenol	32.0	21.075	35.2	above	n.s.	2	0
C05810	2-Octaprenylphenol	0.0	0.0	0.0	equal	NA	0	2
C00236	3-Phospho-D-glyceroyl_phosphate	83808.0	958.006	2419.2	above	***	12	2
C00188	L-Threonine	156.0	68.567	225.6	above	n.s.	4	12
C00189	Ethanolamine	2.0	7.521	15.2	below	n.s.	1	3
C00186	(S)-Lactate	13.0	9.579	14.2	above	n.s.	1	4
C00185	Cellobiose	24.0	41.8	48.0	below	n.s.	2	0
C00183	L-Valine	0.0	0.0	0.0	equal	NA	0	1
C00180	Benzoate	112.0	39.808	61.6	above	*	2	0
C00181	D-Xylose	0.0	72.314	118.8	below	n.s.	3	2
C02909	(2-Naphthyl)methanol	0.0	0.0	0.0	equal	NA	0	6
C00159	D-Mannose	0.0	0.0	0.0	equal	NA	0	12
C04216	all-trans-Heptaprenyl_diphosphate	44.0	38.831	50.4	above	n.s.	2	0
C04051	5-Amino-4-imidazolecarboxyamide	43.0	5.389	8.6	above	***	1	0
C00158	Citrate	160.0	145.38	163.2	above	n.s.	4	7
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	1255.0	281.521	351.0	above	**	5	2
C02553	L-Seryl-tRNA(Ser)	108.0	9.745	12.8	above	***	1	0
C16348	cis-3-Chloroallyl_aldehyde	17080.0	112.889	451.0	above	***	5	4
C02946	4-Acetamidobutanoate	16.0	26.964	53.6	below	n.s.	2	0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	0.0	0.0	0.0	equal	NA	0	1
C05378	beta-D-Fructose_1,6-bisphosphate	12336.0	943.405	2452.8	above	***	12	12
C00015	UDP	651.0	52.773	118.8	above	***	3	4
C05100	3-Ureidoisobutyrate	16.0	29.241	66.4	below	n.s.	2	0
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	172.0	31.658	57.6	above	**	2	2
C00151	L-Amino_acid	0.0	0.0	0.0	equal	NA	0	1
C05823	3-Mercaptolactate	13.0	9.579	14.2	above	n.s.	1	0
C02988	L-Histidyl-tRNA(His)	49.0	4.8	13.4	above	***	1	0
C16551	Alcophosphamide	22.0	10.072	17.4	above	n.s.	1	0
C06715	3-Oxopimeloyl-CoA	0.0	0.0	0.0	equal	NA	0	2
C06714	3-Hydroxypimeloyl-CoA	260.0	6.693	64.0	above	***	2	0
C16466	7-Methyl-3-oxo-6-octenoyl-CoA	0.0	24.186	68.8	below	n.s.	2	0
C16219	3-Oxostearoyl-[acp]	2070.0	41.046	63.0	above	***	3	3
C09306	Sulfur_dioxide	28.0	9.108	12.2	above	*	1	0
C00254	Prephenate	230.0	160.605	211.0	above	n.s.	5	9
C16237	Protein_N6-(lipoyl)lysine	88.0	40.525	33.6	above	*	2	0
C00931	Porphobilinogen	0.0	0.0	0.0	equal	NA	0	3
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	6.0	29.479	167.4	below	n.s.	3	2
C16238	Lipoyl-AMP	88.0	40.525	33.6	above	*	2	2
C18239	Precursor_Z	224.0	76.667	267.2	above	n.s.	4	0
C00446	alpha-D-Galactose_1-phosphate	0.0	0.0	0.0	equal	NA	0	4
C00445	5,10-Methenyltetrahydrofolate	96.0	65.507	132.0	above	n.s.	3	1
C01762	Xanthosine	0.0	0.0	0.0	equal	NA	0	4
C00441	L-Aspartate_4-semialdehyde	8208.0	2466.943	5378.4	above	*	18	9
C00440	5-Methyltetrahydrofolate	1020.0	65.902	186.4	above	***	4	11
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	624.0	42.588	83.2	above	***	2	2
C00526	Deoxyuridine	34.0	7.116	14.6	above	*	1	4
C00527	Glutaryl-CoA	24.0	40.398	64.0	below	n.s.	2	0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	36.0	22.964	76.8	above	n.s.	2	4
C00522	(R)-Pantoate	6.0	5.748	10.4	above	n.s.	1	5
C00448	trans,trans-Farnesyl_diphosphate	72.0	54.529	66.4	above	n.s.	2	8
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	80.0	33.714	62.4	above	n.s.	2	1
C01024	Hydroxymethylbilane	216.0	82.761	169.2	above	n.s.	3	0
C12739	5'-Deoxy-5-fluorouridine	34.0	7.116	14.6	above	*	1	0
C00009	Orthophosphate	49.0	8.207	17.8	above	**	1	0
C01909	Dethiobiotin	2.0	8.602	19.0	below	n.s.	1	1
C00068	Thiamin_diphosphate	384.0	433.201	963.2	below	n.s.	8	15
C04133	N-Acetyl-L-glutamate_5-phosphate	0.0	327.589	628.8	below	n.s.	6	4
C03838	5'-Phosphoribosylglycinamide	378.0	66.381	198.0	above	*	3	3
C00288	HCO3-	0.0	0.0	0.0	equal	NA	0	4
C03722	Quinolinate	16.0	28.103	36.8	below	n.s.	2	2
C05402	Melibiose	0.0	7.139	11.8	below	n.s.	1	0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	472.0	37.897	84.8	above	***	2	4
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.0	7.139	11.8	below	n.s.	1	0
C03939	Acetyl-[acyl-carrier_protein]	424.0	39.306	52.8	above	***	2	7
C00054	Adenosine_3',5'-bisphosphate	15.0	10.361	9.8	above	n.s.	1	0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	8.035	13.2	below	n.s.	1	1
C00627	Pyridoxine_phosphate	76.0	40.43	87.2	above	n.s.	2	0
C00459	dTTP	0.0	0.0	0.0	equal	NA	0	14
C01228	Guanosine_3',5'-bis(diphosphate)	6.0	9.891	17.6	below	n.s.	1	0
C00239	dCMP	204.0	33.024	38.8	above	***	2	2
C00725	Lipoate	0.0	0.0	0.0	equal	NA	0	2
C00231	D-Xylulose_5-phosphate	124956.0	3404.535	8122.4	above	***	26	3
C00232	Succinate_semialdehyde	381.0	36.348	147.0	above	**	3	1
C00233	4-Methyl-2-oxopentanoate	0.0	39.791	55.2	below	n.s.	2	0
C00234	10-Formyltetrahydrofolate	3241.0	314.567	541.8	above	***	7	5
C00235	Dimethylallyl_diphosphate	730.0	180.461	503.0	above	*	5	2
C01613	Stachyose	0.0	0.0	0.0	equal	NA	0	1
C00237	CO	19357.0	556.327	2043.6	above	***	13	11
C00010	CoA	1767.0	34.676	162.0	above	***	3	1
C05984	2-Hydroxybutanoic_acid	0.0	0.0	0.0	equal	NA	0	1
C00012	Peptide	0.0	0.0	0.0	equal	NA	0	1
C00014	Ammonia	36771.0	946.068	4753.2	above	***	17	6
C05980	Cardiolipin	576.0	134.78	316.8	above	*	4	0
C00016	FAD	48.0	8.732	17.4	above	**	1	1
C00018	Pyridoxal_phosphate	76.0	40.43	87.2	above	n.s.	2	0
C00019	S-Adenosyl-L-methionine	920.0	126.744	152.0	above	***	4	5
C00153	Nicotinamide	490.0	16.03	69.2	above	***	2	0
C00152	L-Asparagine	3.0	6.675	8.2	below	n.s.	1	7
C00155	L-Homocysteine	960.0	323.089	1084.8	above	n.s.	8	4
C02835	Imidazole-4-acetate	4.0	6.741	13.4	below	n.s.	1	0
C05714	alpha-Aminopropiononitrile	0.0	0.0	0.0	equal	NA	0	1
C05715	gamma-Amino-gamma-cyanobutanoate	0.0	0.0	0.0	equal	NA	0	1
C05711	gamma-Glutamyl-beta-cyanoalanine	7.0	5.314	11.6	above	n.s.	1	0
C02713	N-Acetylmuramate	0.0	0.0	0.0	equal	NA	0	1
C02336	beta-D-Fructose	0.0	64.248	106.2	below	n.s.	3	2
C14108	4-Hydroxymethylsalicylaldehyde	260.0	6.693	64.0	above	***	2	0
C02331	Vinylacetyl-CoA	1920.0	122.857	220.8	above	***	4	3
C00058	Formate	416.0	107.492	236.8	above	*	4	4
C06320	Precorrin_6X	13.0	9.135	16.6	above	n.s.	1	1
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	472.0	37.897	84.8	above	***	2	4
C00655	Xanthosine_5'-phosphate	4165.0	177.607	519.4	above	***	7	6
C00301	ADP-ribose	0.0	0.0	0.0	equal	NA	0	1
C00302	DL-Glutamate	28.0	9.952	15.4	above	*	1	0
C00718	Amylose	1446.0	259.639	553.2	above	**	6	3
C02232	3-Oxoadipyl-CoA	8480.0	111.036	307.2	above	***	4	0
C14089	1-Hydroxymethylnaphthalene	0.0	0.0	0.0	equal	NA	0	6
C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate	0.0	0.0	0.0	equal	NA	0	2
C14086	2-Hydroxy-3-methylbenzalpyruvate	0.0	0.0	0.0	equal	NA	0	3
C14087	3-Methylsalicylaldehyde	585.0	15.06	144.0	above	***	3	0
C17551	2-Polyprenyl-6-hydroxyphenol	72.0	47.419	79.2	above	n.s.	3	0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	49.0	8.207	17.8	above	**	1	2
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	52.0	109.24	298.4	below	n.s.	4	4
C01127	4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	equal	NA	0	1
C06188	Salicin_6-phosphate	3.0	11.842	15.4	below	n.s.	1	1
C05665	3-Aminopropanal	0.0	0.0	0.0	equal	NA	0	1
C03058	2-Hydroxyglutaryl-CoA	0.0	0.0	0.0	equal	NA	0	1
C06186	Arbutin	0.0	0.0	0.0	equal	NA	0	2
C06187	Arbutin_6-phosphate	6.0	42.951	62.0	below	n.s.	2	1
C18902	Methylselenic_acid	0.0	0.0	0.0	equal	NA	0	1
C03294	N-Formylmethionyl-tRNA	28.0	4.409	13.4	above	*	1	0
C02051	Lipoylprotein	40.0	9.737	15.0	above	**	1	2
C03114	Dimethylbenzimidazole	0.0	0.0	0.0	equal	NA	0	2
C06611	trans-3-Chloro-2-propene-1-ol	3412.0	19.944	76.8	above	***	2	4
C06612	cis-3-Chloro-2-propene-1-ol	3412.0	19.944	76.8	above	***	2	4
C04088	Octadecanoyl-[acyl-carrier_protein]	1179.0	86.998	86.4	above	***	3	0
C06614	trans-3-Chloroacrylic_acid	16.0	26.964	53.6	below	n.s.	2	1
C06615	cis-3-Chloroacrylic_acid	16.0	26.964	53.6	below	n.s.	2	1
C06755	Chloroacetic_acid	16.0	26.964	53.6	below	n.s.	2	1
C06754	Chloroacetaldehyde	4.0	6.741	13.4	below	n.s.	1	2
C00979	O-Acetyl-L-serine	0.0	0.0	0.0	equal	NA	0	8
C00877	Crotonoyl-CoA	101062.0	443.024	2324.4	above	***	13	10
C16273	3-Hydroxy-5-oxohexanoyl-CoA	0.0	81.333	225.6	below	n.s.	4	2
C16272	3-Hydroxy-5-oxohexanoate	0.0	0.0	0.0	equal	NA	0	4
C04246	But-2-enoyl-[acyl-carrier_protein]	387.0	61.989	122.4	above	**	3	3
C00409	Methanethiol	0.0	4.98	23.0	below	n.s.	1	0
C03373	Aminoimidazole_ribotide	333.0	82.604	140.4	above	*	3	2
C16074	Phenylacetonitrile	0.0	0.0	0.0	equal	NA	0	2
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	480.0	19.498	133.8	above	***	3	1
C00407	L-Isoleucine	0.0	0.0	0.0	equal	NA	0	1
C01401	Alanine	28.0	9.952	15.4	above	*	1	0
C01151	D-Ribose_1,5-bisphosphate	11.0	8.777	13.4	above	n.s.	1	0
C06056	4-Hydroxy-L-threonine	5.0	7.499	11.6	below	n.s.	1	0
C06506	Adenosyl_cobyrinate_a,c_diamide	12.0	6.21	18.2	above	n.s.	1	1
C06055	O-Phospho-4-hydroxy-L-threonine	0.0	0.0	0.0	equal	NA	0	1
C03479	Folinic_acid	0.0	0.0	0.0	equal	NA	0	2
C01412	Butanal	0.0	0.0	0.0	equal	NA	0	1
C06114	gamma-Glutamyl-beta-aminopropiononitrile	7.0	5.314	11.6	above	n.s.	1	0
C06508	Adenosyl_cobinamide	48.0	30.714	79.2	above	n.s.	2	4
C06509	Adenosyl_cobinamide_phosphate	1104.0	163.376	405.6	above	**	6	2
C09332	Tetrahydrofolyl-[Glu](2)	30.0	9.728	10.4	above	*	1	0
C06032	D-erythro-3-Methylmalate	0.0	764.46	945.0	below	n.s.	9	6
C01157	Hydroxyproline	624.0	42.588	83.2	above	***	2	2
C02576	Perillyl_aldehyde	0.0	0.0	0.0	equal	NA	0	2
C03972	2,3,4,5-Tetrahydrodipicolinate	7281.0	368.205	1000.8	above	***	9	5
C03974	2-Acyl-sn-glycerol_3-phosphate	6.0	10.1	16.0	below	n.s.	1	0
C00577	D-Glyceraldehyde	624.0	4.883	16.4	above	***	1	1
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	116.0	17.6	100.8	above	n.s.	2	4
C00279	D-Erythrose_4-phosphate	74290.0	1167.839	3434.0	above	***	17	7
