Compound_code	Compound_name	Input_metabolite_score	Indegree	Outdegree
C05758	trans-Dodec-2-enoyl-[acp]	1179.0	3	3
C05759	3-Oxotetradecanoyl-[acp]	1062.0	3	3
C05811	2-Octaprenyl-6-hydroxyphenol	0.0	2	0
C05810	2-Octaprenylphenol	32.0	0	2
C01613	Stachyose	0.0	0	1
C00188	L-Threonine	10680.0	4	12
C00189	Ethanolamine	213.0	1	3
C02702	L-Prolyl-tRNA(Pro)	0.0	1	0
C00185	Cellobiose	0.0	2	0
C00183	L-Valine	101.0	0	1
C03794	N6-(1,2-Dicarboxyethyl)-AMP	411.0	3	3
C00181	D-Xylose	88.0	3	2
C00159	D-Mannose	10008.0	0	12
C04216	all-trans-Heptaprenyl_diphosphate	0.0	2	0
C04051	5-Amino-4-imidazolecarboxyamide	0.0	1	0
C00158	Citrate	490.0	4	7
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	196.0	5	2
C02553	L-Seryl-tRNA(Ser)	0.0	1	0
C16348	cis-3-Chloroallyl_aldehyde	6856.0	5	4
C02946	4-Acetamidobutanoate	0.0	2	0
C05378	beta-D-Fructose_1,6-bisphosphate	62304.0	12	12
C05980	Cardiolipin	0.0	4	0
C05100	3-Ureidoisobutyrate	0.0	2	0
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	172.0	2	2
C00018	Pyridoxal_phosphate	0.0	2	0
C00019	S-Adenosyl-L-methionine	455.0	4	5
C02988	L-Histidyl-tRNA(His)	0.0	1	0
C16551	Alcophosphamide	0.0	1	0
C06715	3-Oxopimeloyl-CoA	24.0	0	2
C06714	3-Hydroxypimeloyl-CoA	0.0	2	0
C16466	7-Methyl-3-oxo-6-octenoyl-CoA	0.0	2	0
C16219	3-Oxostearoyl-[acp]	1062.0	3	3
C11437	1-Deoxy-D-xylulose_5-phosphate	106.0	5	2
C09306	Sulfur_dioxide	0.0	1	0
C05751	trans-Oct-2-enoyl-[acp]	1179.0	3	3
C16237	Protein_N6-(lipoyl)lysine	0.0	2	0
C00130	IMP	5712.0	2	8
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	4.0	3	2
C16238	Lipoyl-AMP	88.0	2	2
C00447	Sedoheptulose_1,7-bisphosphate	624.0	3	1
C00446	alpha-D-Galactose_1-phosphate	224.0	0	4
C00445	5,10-Methenyltetrahydrofolate	26.0	3	1
C01762	Xanthosine	1396.0	0	4
C00441	L-Aspartate_4-semialdehyde	11565.0	18	9
C00440	5-Methyltetrahydrofolate	7271.0	4	11
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	624.0	2	2
C00526	Deoxyuridine	480.0	1	4
C00527	Glutaryl-CoA	0.0	2	0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	120.0	2	4
C00522	(R)-Pantoate	225.0	1	5
C03263	Coproporphyrinogen_III	378.0	0	3
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	34.0	2	1
C01024	Hydroxymethylbilane	0.0	3	0
C00921	Dihydropteroate	120.0	4	2
C00141	3-Methyl-2-oxobutanoic_acid	162.0	8	6
C01909	Dethiobiotin	2.0	1	1
C00068	Thiamin_diphosphate	1875.0	8	15
C04133	N-Acetyl-L-glutamate_5-phosphate	0.0	6	4
C03838	5'-Phosphoribosylglycinamide	234.0	3	3
C00288	HCO3-	3044.0	0	4
C03722	Quinolinate	12.0	2	2
C05402	Melibiose	0.0	1	0
C02091	(S)-Ureidoglycine	0.0	2	0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.0	1	0
C03939	Acetyl-[acyl-carrier_protein]	7798.0	2	7
C00726	Nitrile	112.0	0	2
C00620	alpha-D-Ribose_1-phosphate	896.0	0	4
C11355	4-Amino-4-deoxychorismate	12.0	2	1
C00624	N-Acetyl-L-glutamate	0.0	5	5
C00009	Orthophosphate	0.0	1	0
C01228	Guanosine_3',5'-bis(diphosphate)	0.0	1	0
C00239	dCMP	204.0	2	2
C01346	dUDP	9.0	3	1
C00232	Succinate_semialdehyde	9.0	3	1
C00233	4-Methyl-2-oxopentanoate	0.0	2	0
C00234	10-Formyltetrahydrofolate	1115.0	7	5
C00235	Dimethylallyl_diphosphate	72.0	5	2
C00236	3-Phospho-D-glyceroyl_phosphate	2328.0	12	2
C00237	CO	11352.0	13	11
C05985	2-Propynal	4.0	0	1
C02839	L-Tyrosyl-tRNA(Tyr)	0.0	1	0
C00012	Peptide	48.0	0	1
C00014	Ammonia	942.0	17	6
C00015	UDP	480.0	3	4
C00016	FAD	48.0	1	1
C02336	beta-D-Fructose	16.0	3	2
C00151	L-Amino_acid	7.0	0	1
C05823	3-Mercaptolactate	0.0	1	0
C00153	Nicotinamide	0.0	2	0
C00152	L-Asparagine	2583.0	1	7
C00155	L-Homocysteine	336.0	8	4
C02835	Imidazole-4-acetate	0.0	1	0
C05714	alpha-Aminopropiononitrile	28.0	0	1
C05715	gamma-Amino-gamma-cyanobutanoate	28.0	0	1
C05711	gamma-Glutamyl-beta-cyanoalanine	0.0	1	0
C02876	Propanoyl_phosphate	162.0	2	1
C00459	dTTP	3472.0	0	14
C14108	4-Hydroxymethylsalicylaldehyde	0.0	2	0
C02331	Vinylacetyl-CoA	1080.0	4	3
C03785	D-Tagatose_1,6-bisphosphate	348.0	10	2
C03752	2-Amino-2-deoxy-D-gluconate	48.0	0	8
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	988.0	2	4
C00448	trans,trans-Farnesyl_diphosphate	2240.0	2	8
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	976.0	5	4
C00301	ADP-ribose	55.0	0	1
C00302	DL-Glutamate	0.0	1	0
C00718	Amylose	267.0	6	3
C01134	Pantetheine_4'-phosphate	80.0	3	2
C02232	3-Oxoadipyl-CoA	0.0	4	0
C14089	1-Hydroxymethylnaphthalene	30708.0	0	6
C06320	Precorrin_6X	13.0	1	1
C14086	2-Hydroxy-3-methylbenzalpyruvate	585.0	0	3
C02909	(2-Naphthyl)methanol	30708.0	0	6
C17551	2-Polyprenyl-6-hydroxyphenol	0.0	3	0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	136.0	1	2
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	92.0	4	4
C01127	4-Hydroxy-2-oxoglutarate	7.0	0	1
C06188	Salicin_6-phosphate	64.0	1	1
C05665	3-Aminopropanal	4.0	0	1
C03058	2-Hydroxyglutaryl-CoA	65.0	0	1
C06186	Arbutin	6.0	0	2
C06187	Arbutin_6-phosphate	24.0	2	1
C00655	Xanthosine_5'-phosphate	2550.0	7	6
C18902	Methylselenic_acid	555.0	0	1
C03294	N-Formylmethionyl-tRNA	0.0	1	0
C02051	Lipoylprotein	48.0	1	2
C03114	Dimethylbenzimidazole	228.0	0	2
C06611	trans-3-Chloro-2-propene-1-ol	13648.0	2	4
C06612	cis-3-Chloro-2-propene-1-ol	13648.0	2	4
C06613	trans-3-Chloroallyl_aldehyde	6856.0	5	4
C06614	trans-3-Chloroacrylic_acid	4.0	2	1
C06615	cis-3-Chloroacrylic_acid	4.0	2	1
C06755	Chloroacetic_acid	4.0	2	1
C06754	Chloroacetaldehyde	16.0	1	2
C00979	O-Acetyl-L-serine	232.0	0	8
C00877	Crotonoyl-CoA	63670.0	13	10
C16273	3-Hydroxy-5-oxohexanoyl-CoA	24.0	4	2
C16272	3-Hydroxy-5-oxohexanoate	0.0	0	4
C04246	But-2-enoyl-[acyl-carrier_protein]	1179.0	3	3
C00409	Methanethiol	0.0	1	0
C03373	Aminoimidazole_ribotide	8.0	3	2
C00402	D-Aspartate	0.0	1	0
C00407	L-Isoleucine	130.0	0	1
C01401	Alanine	0.0	1	0
C01151	D-Ribose_1,5-bisphosphate	0.0	1	0
C06056	4-Hydroxy-L-threonine	0.0	1	0
C06506	Adenosyl_cobyrinate_a,c_diamide	12.0	1	1
C06507	Adenosyl_cobyrinate_hexaamide	300.0	1	5
C03479	Folinic_acid	12.0	0	2
C01412	Butanal	1684.0	0	1
C06114	gamma-Glutamyl-beta-aminopropiononitrile	0.0	1	0
C06508	Adenosyl_cobinamide	640.0	2	4
C06112	L-Glutamyl-tRNA(Gln)	46.0	1	1
C09332	Tetrahydrofolyl-[Glu](2)	0.0	1	0
C06032	D-erythro-3-Methylmalate	0.0	9	6
C01157	Hydroxyproline	624.0	2	2
C02576	Perillyl_aldehyde	16.0	0	2
C03972	2,3,4,5-Tetrahydrodipicolinate	2785.0	9	5
C06156	alpha-D-Glucosamine_1-phosphate	89.0	1	1
C03974	2-Acyl-sn-glycerol_3-phosphate	0.0	1	0
C00577	D-Glyceraldehyde	4.0	1	1
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	680.0	2	4
C00279	D-Erythrose_4-phosphate	13328.0	17	7
C13632	4,4'-Dihydroxy-alpha-methylstilbene	65.0	2	1
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	324.0	2	2
C00906	5,6-Dihydrothymine	16.0	0	2
C00275	D-Mannose_6-phosphate	256.0	12	4
C00270	N-Acetylneuraminate	84.0	0	1
C00900	2-Acetolactate	1.0	2	1
C16698	N-Acetylmuramic_acid_6-phosphate	0.0	2	0
C00475	Cytidine	2100.0	10	12
C12215	Iminoerythrose_4-phosphate	0.0	2	0
C00473	Retinol	88.0	0	2
C00294	Inosine	891.0	2	3
C00295	Orotate	80.0	2	2
C05699	L-Selenocystathionine	12.0	0	1
C05698	Selenohomocysteine	21.0	1	1
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	42.0	5	3
C00353	Geranylgeranyl_diphosphate	0.0	3	0
C00352	D-Glucosamine_6-phosphate	200.0	6	2
C14087	3-Methylsalicylaldehyde	0.0	3	0
C02166	Leukotriene_C4	28.0	0	2
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	36.0	9	3
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	112.0	4	4
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	46.0	3	1
C00750	Spermine	3.0	3	1
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	0.0	2	0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	80.0	0	2
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	55.0	1	1
C00357	N-Acetyl-D-glucosamine_6-phosphate	48.0	3	2
C00993	D-Alanyl-D-alanine	80.0	3	2
C04046	3-D-Glucosyl-1,2-diacylglycerol	17.0	1	1
C02170	Methylmalonate	0.0	1	0
C00120	Biotin	18.0	1	3
C00121	D-Ribose	1.0	0	1
C00122	Fumarate	46.0	11	2
C00123	L-Leucine	62.0	0	1
C00129	Isopentenyl_diphosphate	882.0	8	7
C15532	N-Acetyl-L-citrulline	1.0	0	1
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	0.0	1	3
C02713	N-Acetylmuramate	3.0	0	1
C11934	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA	0.0	3	0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1162.0	0	7
C05382	Sedoheptulose_7-phosphate	36335.0	1	13
C05749	Hexanoyl-[acp]	2070.0	3	3
C05748	trans-Hex-2-enoyl-[acp]	1179.0	3	3
C05747	(R)-3-Hydroxyhexanoyl-[acp]	387.0	3	3
C05746	3-Oxohexanoyl-[acp]	1062.0	3	3
C05745	Butyryl-[acp]	2070.0	3	3
C05744	Acetoacetyl-[acp]	118.0	8	1
C03150	Nicotinamide-beta-riboside	490.0	0	2
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	1825.0	1	5
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	988.0	2	4
C00054	Adenosine_3',5'-bisphosphate	0.0	1	0
C00055	CMP	1180.0	10	10
C00725	Lipoate	88.0	0	2
C00199	D-Ribulose_5-phosphate	5120.0	9	8
C00051	Glutathione	63.0	0	3
C00052	UDP-alpha-D-galactose	44.0	7	1
C00010	CoA	15.0	3	1
C00194	Cobamide_coenzyme	0.0	3	0
C00469	Ethanol	54592.0	0	8
C00058	Formate	3028.0	4	4
C02714	N-Acetylputrescine	0.0	2	0
C00192	Hydroxylamine	18.0	0	1
C00354	D-Fructose_1,6-bisphosphate	21568.0	3	8
C04088	Octadecanoyl-[acyl-carrier_protein]	0.0	3	0
C00204	2-Dehydro-3-deoxy-D-gluconate	940.0	3	5
C01118	O-Succinyl-L-homoserine	8.0	4	1
C01050	UDP-N-acetylmuramate	356.0	7	2
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	49.0	2	1
C05130	Imidazole-4-acetaldehyde	4.0	0	1
C00206	dADP	647.0	7	1
C00254	Prephenate	765.0	5	9
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	172.0	2	2
C03028	Thiamin_triphosphate	0.0	2	0
C20589	D-Glucosaminate-6-phosphate	0.0	8	0
C03539	S-Ribosyl-L-homocysteine	112.0	3	2
C02457	Propane-1,3-diol	0.0	1	0
C06010	(S)-2-Acetolactate	36.0	4	6
C00831	Pantetheine	55.0	0	1
