Compound_code	Compound_name	Metabolite_score	Sim_Mean	Sim_StD	Relationshiop	Confidence
C00143	5,10-Methylenetetrahydrofolate	-4.165	0.399	4.471	n.s	none
C00140	N-Acetyl-D-glucosamine	9.366	5.658	1.967	above	none
C00141	3-Methyl-2-oxobutanoic_acid	1.907	0.075	5.563	above	none
C00029	UDP-glucose	-2.617	1.127	5.173	n.s	none
C00147	Adenine	-5.399	0.824	4.331	n.s	none
C00144	GMP	-5.087	-1.729	5.869	n.s	none
C03740	(5-L-Glutamyl)-L-amino_acid	-2.807	-5.985	1.796	above	none
C01079	Protoporphyrinogen_IX	-5.392	-5.648	2.003	above	none
C05748	trans-Hex-2-enoyl-[acp]	6.459	-0.215	5.81	above	none
C05807	2-Polyprenylphenol	3.0	5.657	2.011	n.s	none
C05729	R-S-Cysteinylglycine	7.082	0.656	5.943	above	none
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-2.585	0.231	5.74	n.s	none
C11437	1-Deoxy-D-xylulose_5-phosphate	0.0	0.006	3.092	n.s	none
C00644	D-Mannitol_1-phosphate	8.036	0.318	5.705	above	none
C06319	Precorrin_6Y	0.0	0.0	0.0	n.s	none
C02739	1-(5-Phospho-D-ribosyl)-ATP	1.585	-0.698	4.808	above	none
C00647	Pyridoxamine_phosphate	0.0	0.0	0.0	n.s	none
C05726	S-Substituted_L-cysteine	-7.155	-6.318	1.054	n.s	none
C00705	dCDP	2.263	0.016	5.569	above	none
C06250	Holo-[carboxylase]	6.577	-0.948	5.16	above	none
C01242	S-Aminomethyldihydrolipoylprotein	0.0	0.0	0.0	n.s	none
C02631	2-Isopropylmaleate	0.0	0.0	0.0	n.s	none
C02637	3-Dehydroshikimate	0.0	0.0	0.0	n.s	none
C03194	(R)-1-Aminopropan-2-ol	3.585	5.413	1.917	n.s	none
C04419	Carboxybiotin-carboxyl-carrier_protein	-5.033	1.121	5.151	n.s	none
C01528	Hydrogen_selenide	-9.116	-5.692	1.797	n.s	none
C02938	3-Indoleacetonitrile	4.807	5.415	1.998	n.s	none
C00750	Spermine	0.0	0.0	0.0	n.s	none
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	0.0	0.589	5.817	n.s	none
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.492	0.393	6.13	above	none
C00763	D-Proline	7.219	0.104	5.894	above	none
C01134	Pantetheine_4'-phosphate	-4.954	0.48	5.715	n.s	none
C01137	S-Adenosylmethioninamine	0.585	-0.666	5.398	above	none
C00092	D-Glucose_6-phosphate	-7.4	-6.227	0.769	n.s	none
C06035	4-Methylene-2-oxoglutarate	0.0	0.0	0.0	n.s	none
C02226	2-Methylmaleate	0.0	0.0	0.0	n.s	none
C03511	L-Phenylalanyl-tRNA(Phe)	-6.267	-5.422	2.084	n.s	none
C03512	L-Tryptophanyl-tRNA(Trp)	-5.954	-5.507	1.654	n.s	none
C06033	Parapyruvate	0.0	0.0	0.0	n.s	none
C12147	L-Threonine_O-3-phosphate	3.0	-0.021	6.021	above	none
C00329	D-Glucosamine	0.0	6.113	1.155	n.s	none
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	-5.104	0.435	3.975	n.s	none
C06408	Precorrin_8X	4.17	6.067	1.78	n.s	none
C02741	Phosphoribosyl-AMP	0.0	0.0	0.0	n.s	none
C06407	Precorrin_4	3.17	0.01	5.945	above	none
C06406	Precorrin_3B	4.087	5.705	1.673	n.s	none
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.229	-0.456	5.956	n.s	none
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-6.807	0.604	5.959	n.s	none
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.229	-0.456	5.956	n.s	none
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-6.807	0.604	5.959	n.s	none
C20375	Glutaryl-[acp]_methyl_ester	7.845	5.391	1.854	above	none
C20374	Enoylglutaryl-[acp]_methyl_ester	-5.426	-5.509	1.769	above	none
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.392	0.609	5.806	above	none
C20378	Enoylpimeloyl-[acp]_methyl_ester	-5.426	-5.509	1.769	above	none
C00804	Propynoate	-2.0	-5.306	1.947	above	none
C00969	3-Hydroxypropanal	3.459	5.362	2.002	n.s	none
C11545	Cobalt-precorrin_8	2.585	2.137	5.641	above	none
C00966	2-Dehydropantoate	-0.848	0.284	5.222	n.s	none
C11540	Cobalt-precorrin_4	3.17	0.01	5.945	above	none
C11542	Cobalt-precorrin_6	-2.807	-0.994	5.916	n.s	none
C11543	Cobalt-dihydro-precorrin_6	0.0	-0.28	6.112	above	none
C02282	Glutaminyl-tRNA	0.0	0.0	0.0	n.s	none
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0.0	-0.384	5.835	above	none
C00415	Dihydrofolate	-4.907	-6.21	1.72	above	none
C00416	Phosphatidate	4.31	0.147	5.45	above	none
C00417	cis-Aconitate	0.0	0.0	0.0	n.s	none
C03460	2-Methylprop-2-enoyl-CoA	-10.189	-6.064	1.574	n.s	none
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.392	0.609	5.806	above	none
C03345	2-Methylbut-2-enoyl-CoA	0.0	0.0	0.0	n.s	none
C00993	D-Alanyl-D-alanine	3.17	-0.109	5.656	above	none
C00620	alpha-D-Ribose_1-phosphate	5.807	6.091	1.142	n.s	none
C11355	4-Amino-4-deoxychorismate	-1.807	-1.025	5.942	n.s	none
C05951	Leukotriene_D4	-2.807	-5.985	1.796	above	none
C05576	3,4-Dihydroxyphenylethyleneglycol	0.0	0.0	0.0	n.s	none
C05577	3,4-Dihydroxymandelaldehyde	0.0	0.0	0.0	n.s	none
C03263	Coproporphyrinogen_III	5.392	5.648	2.003	n.s	none
C00378	Thiamine	0.0	0.0	0.0	n.s	none
C00242	Guanine	-4.88	0.939	5.397	n.s	none
C00245	Taurine	2.807	5.985	1.796	n.s	none
C00246	Butanoic_acid	0.0	0.0	0.0	n.s	none
C00624	N-Acetyl-L-glutamate	0.0	0.702	5.815	n.s	none
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-4.459	-5.384	1.952	above	none
C02170	Methylmalonate	-2.0	-5.306	1.947	above	none
C00568	4-Aminobenzoate	4.954	-0.338	6.072	above	none
C01099	L-Fuculose_1-phosphate	0.0	5.882	1.571	n.s	none
C01097	D-Tagatose_6-phosphate	6.385	5.907	1.281	above	none
C01096	Sorbitol_6-phosphate	0.0	-0.692	5.982	above	none
C01094	D-Fructose_1-phosphate	8.652	0.106	5.6	above	none
C05682	Phosphonoacetate	4.392	5.594	1.811	n.s	none
C00341	Geranyl_diphosphate	0.0	0.0	0.0	n.s	none
C00342	Thioredoxin	-8.961	0.83	5.772	n.s	none
C00343	Thioredoxin_disulfide	8.989	-0.855	5.853	above	none
C00344	Phosphatidylglycerol	5.17	5.664	1.895	n.s	none
C05684	Selenite	9.116	5.692	1.797	above	none
C00061	FMN	0.0	0.0	0.0	n.s	none
C00060	Carboxylate	-4.807	-5.415	1.998	above	none
C00063	CTP	8.135	6.197	0.639	above	*
C00062	L-Arginine	4.369	6.068	1.204	n.s	none
C00065	L-Serine	4.975	0.224	4.826	above	none
C00064	L-Glutamine	3.92	0.655	4.978	above	none
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	4.644	-0.323	5.955	above	none
C16633	5-Fluorouridine	3.459	5.53	2.033	n.s	none
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	0.0	5.945	1.539	n.s	none
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-2.0	-5.537	1.972	above	none
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	5.202	-1.003	5.553	above	none
C16635	5'-Deoxy-5-fluorocytidine	5.087	5.608	1.986	n.s	none
C16634	5-Fluorouridine_monophosphate	-3.459	-5.53	2.033	above	none
C19673	Malonyl-[acp]_methyl_ester	7.845	5.391	1.854	above	none
C03752	2-Amino-2-deoxy-D-gluconate	0.0	6.353	0.747	n.s	none
C05923	2,5-Diaminopyrimidine_nucleoside_triphosphate	0.0	0.0	0.0	n.s	none
C05922	Formamidopyrimidine_nucleoside_triphosphate	0.0	0.0	0.0	n.s	none
C05921	Biotinyl-5'-AMP	0.0	0.0	0.0	n.s	none
C00748	Siroheme	0.0	0.0	0.0	n.s	none
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.781	5.449	1.899	above	none
C00668	alpha-D-Glucose_6-phosphate	6.942	0.146	5.684	above	none
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil	0.0	0.0	0.0	n.s	none
C00666	LL-2,6-Diaminoheptanedioate	-3.585	-0.213	5.534	n.s	none
C00663	beta-D-Glucose_1-phosphate	-2.0	0.45	5.789	n.s	none
C02163	L-Arginyl-tRNA(Arg)	-5.755	-5.944	1.663	above	none
C00988	2-Phosphoglycolate	3.322	5.98	1.8	n.s	none
C00989	4-Hydroxybutanoic_acid	6.768	5.91	1.509	above	none
C00114	Choline	-1.0	-5.941	1.542	above	*
C00117	D-Ribose_5-phosphate	-5.644	0.591	5.353	n.s	none
C00116	Glycerol	0.0	0.0	0.0	n.s	none
C00111	Glycerone_phosphate	-6.86	-0.623	4.058	n.s	none
C02380	6-Mercaptopurine	5.672	6.23	1.636	n.s	none
C00112	CDP	-5.828	0.166	5.56	n.s	none
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-5.745	1.029	4.089	n.s	none
C00118	D-Glyceraldehyde_3-phosphate	-6.021	-0.739	4.76	n.s	none
C06416	Precorrin_5	-4.7	-5.923	1.748	above	none
C11929	Perillyl-CoA	6.022	5.774	1.875	above	none
C01346	dUDP	-1.415	-0.657	5.33	n.s	none
C11924	Perillic_acid	-2.0	-5.306	1.947	above	none
C05750	3-Oxooctanoyl-[acp]	-6.392	0.592	5.565	n.s	none
C05751	trans-Oct-2-enoyl-[acp]	6.459	-0.215	5.81	above	none
C14145	(3S)-3-Hydroxyadipyl-CoA	9.05	5.525	1.869	above	none
C05753	3-Oxodecanoyl-[acp]	-6.392	0.592	5.565	n.s	none
C05754	trans-Dec-2-enoyl-[acp]	6.459	-0.215	5.81	above	none
C05755	Decanoyl-[acp]	6.629	-0.11	5.639	above	none
C05756	3-Oxododecanoyl-[acp]	-6.807	0.604	5.959	n.s	none
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.229	-0.456	5.956	n.s	none
C05758	trans-Dodec-2-enoyl-[acp]	6.459	-0.215	5.81	above	none
C05759	3-Oxotetradecanoyl-[acp]	-6.807	0.604	5.959	n.s	none
C05811	2-Octaprenyl-6-hydroxyphenol	-3.0	-5.657	2.011	above	none
C05810	2-Octaprenylphenol	3.0	5.657	2.011	n.s	none
C00236	3-Phospho-D-glyceroyl_phosphate	0.0	0.0	0.0	n.s	none
C00188	L-Threonine	6.009	0.932	5.188	above	none
C00189	Ethanolamine	4.437	0.485	5.709	above	none
C00186	(S)-Lactate	0.0	0.0	0.0	n.s	none
C00185	Cellobiose	-2.585	-5.556	1.978	above	none
C00183	L-Valine	6.658	5.509	2.157	above	none
C00180	Benzoate	-4.807	-5.415	1.998	above	none
C00181	D-Xylose	4.459	0.701	6.192	above	none
C02909	(2-Naphthyl)methanol	9.736	5.963	1.269	above	*
C00159	D-Mannose	6.119	6.323	0.739	n.s	none
C04216	all-trans-Heptaprenyl_diphosphate	-3.459	-5.929	1.963	above	none
C04051	5-Amino-4-imidazolecarboxyamide	-5.426	-5.808	1.887	above	none
C00158	Citrate	0.0	0.0	0.0	n.s	none
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.263	0.652	3.701	n.s	none
C02553	L-Seryl-tRNA(Ser)	-6.755	-5.908	1.657	n.s	none
C16348	cis-3-Chloroallyl_aldehyde	-7.993	-0.673	4.262	n.s	none
C02946	4-Acetamidobutanoate	-2.0	-5.306	1.947	above	none
C16586	2-Phenyl-1,3-propanediol_monocarbamate	4.459	5.384	1.952	n.s	none
C05378	beta-D-Fructose_1,6-bisphosphate	8.439	0.978	5.454	above	none
C00015	UDP	-5.404	0.143	4.886	n.s	none
C05100	3-Ureidoisobutyrate	-2.0	-5.537	1.972	above	none
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	0.0	0.0	0.0	n.s	none
C00151	L-Amino_acid	2.807	5.985	1.796	n.s	none
C05823	3-Mercaptolactate	-3.7	-5.773	1.817	above	none
C02988	L-Histidyl-tRNA(His)	-5.615	-5.576	2.033	n.s	none
C16551	Alcophosphamide	-4.459	-5.384	1.952	above	none
C06715	3-Oxopimeloyl-CoA	2.585	5.56	1.87	n.s	none
C06714	3-Hydroxypimeloyl-CoA	-6.022	-5.774	1.875	n.s	none
C16466	7-Methyl-3-oxo-6-octenoyl-CoA	0.0	-5.945	1.539	above	*
C16219	3-Oxostearoyl-[acp]	-6.807	0.604	5.959	n.s	none
C09306	Sulfur_dioxide	-4.807	-5.627	2.135	above	none
C00254	Prephenate	0.0	-0.053	3.888	above	none
C16237	Protein_N6-(lipoyl)lysine	-4.459	-5.469	1.815	above	none
C00931	Porphobilinogen	4.585	5.723	1.826	n.s	none
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	0.0	-1.296	5.897	above	none
C16238	Lipoyl-AMP	0.0	0.0	0.0	n.s	none
C18239	Precursor_Z	-3.807	-6.137	1.29	above	none
C00446	alpha-D-Galactose_1-phosphate	3.807	5.704	1.951	n.s	none
C00445	5,10-Methenyltetrahydrofolate	3.939	0.424	5.336	above	none
C01762	Xanthosine	6.447	6.103	1.326	above	none
C00441	L-Aspartate_4-semialdehyde	6.876	-0.402	4.994	above	none
C00440	5-Methyltetrahydrofolate	-1.871	0.158	3.413	n.s	none
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	0.0	0.0	0.0	n.s	none
C00526	Deoxyuridine	-2.0	0.049	5.922	n.s	none
C00527	Glutaryl-CoA	-2.585	-5.56	1.87	above	none
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-0.585	-0.381	5.856	n.s	none
C00522	(R)-Pantoate	1.585	0.077	5.363	above	none
C00448	trans,trans-Farnesyl_diphosphate	4.087	1.661	4.778	above	none
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.807	0.723	5.677	above	none
C01024	Hydroxymethylbilane	-4.585	-5.723	1.826	above	none
C12739	5'-Deoxy-5-fluorouridine	-5.087	-5.608	1.986	above	none
C00009	Orthophosphate	-5.615	-5.458	1.842	n.s	none
C01909	Dethiobiotin	0.0	0.0	0.0	n.s	none
C00068	Thiamin_diphosphate	1.222	-0.049	3.653	above	none
C04133	N-Acetyl-L-glutamate_5-phosphate	0.0	-0.054	5.675	above	none
C03838	5'-Phosphoribosylglycinamide	-4.0	-0.364	6.273	n.s	none
C00288	HCO3-	7.572	6.238	0.793	above	none
C03722	Quinolinate	-0.0	0.094	5.786	n.s	none
C05402	Melibiose	0.0	-5.718	1.798	above	*
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-5.814	-0.477	5.563	n.s	none
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.0	-5.718	1.798	above	*
C03939	Acetyl-[acyl-carrier_protein]	5.732	-0.771	4.751	above	none
C00054	Adenosine_3',5'-bisphosphate	-3.907	-5.558	1.669	above	none
C04039	2,3-Dihydroxy-3-methylbutanoate	0.0	0.937	5.911	n.s	none
C00627	Pyridoxine_phosphate	-4.248	-5.67	1.661	above	none
C00459	dTTP	4.147	6.325	0.658	n.s	none
C01228	Guanosine_3',5'-bis(diphosphate)	-2.585	-5.72	1.818	above	none
C00239	dCMP	0.0	0.0	0.0	n.s	none
C00725	Lipoate	4.459	5.469	1.815	n.s	none
C00231	D-Xylulose_5-phosphate	-5.364	-0.709	4.579	n.s	none
C00232	Succinate_semialdehyde	-5.059	0.268	4.427	n.s	none
C00233	4-Methyl-2-oxopentanoate	0.0	-5.38	2.209	above	*
C00234	10-Formyltetrahydrofolate	-4.429	0.531	4.93	n.s	none
C00235	Dimethylallyl_diphosphate	-3.485	0.041	5.727	n.s	none
C01613	Stachyose	0.0	5.718	1.798	n.s	none
C00237	CO	-4.373	0.143	3.195	n.s	none
C00010	CoA	-7.503	-1.017	5.88	n.s	none
C05984	2-Hydroxybutanoic_acid	3.7	5.773	1.817	n.s	none
C00012	Peptide	5.585	5.576	2.08	above	none
C00014	Ammonia	-6.659	-0.594	5.353	n.s	none
C05980	Cardiolipin	-5.17	-5.664	1.895	above	none
C00016	FAD	0.0	0.0	0.0	n.s	none
C00018	Pyridoxal_phosphate	-4.248	-5.67	1.661	above	none
C00019	S-Adenosyl-L-methionine	-5.296	-0.447	5.261	n.s	none
C00153	Nicotinamide	-6.937	-6.19	1.179	n.s	none
C00152	L-Asparagine	5.636	-0.385	5.469	above	none
C00155	L-Homocysteine	2.585	0.489	5.923	above	none
C02835	Imidazole-4-acetate	-2.0	-5.306	1.947	above	none
C05714	alpha-Aminopropiononitrile	4.807	5.415	1.998	n.s	none
C05715	gamma-Amino-gamma-cyanobutanoate	4.807	5.415	1.998	n.s	none
C05711	gamma-Glutamyl-beta-cyanoalanine	-2.807	-5.985	1.796	above	none
C02713	N-Acetylmuramate	1.585	5.65	1.612	n.s	none
C02336	beta-D-Fructose	2.0	0.188	5.868	above	none
C14108	4-Hydroxymethylsalicylaldehyde	-6.022	-5.774	1.875	n.s	none
C02331	Vinylacetyl-CoA	0.0	0.0	0.0	n.s	none
C00058	Formate	7.351	1.071	5.25	above	none
C06320	Precorrin_6X	0.0	0.0	0.0	n.s	none
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-5.814	-0.477	5.563	n.s	none
C00655	Xanthosine_5'-phosphate	-3.824	-0.295	5.189	n.s	none
C00301	ADP-ribose	5.781	5.598	2.21	above	none
C00302	DL-Glutamate	-4.807	-5.415	1.998	above	none
C00718	Amylose	-3.392	-0.379	5.018	n.s	none
C02232	3-Oxoadipyl-CoA	-9.05	-5.525	1.869	n.s	none
C14089	1-Hydroxymethylnaphthalene	9.736	5.963	1.269	above	*
C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate	6.022	5.774	1.875	above	none
C14086	2-Hydroxy-3-methylbenzalpyruvate	6.022	5.774	1.875	above	none
C14087	3-Methylsalicylaldehyde	-6.022	-5.774	1.875	n.s	none
C17551	2-Polyprenyl-6-hydroxyphenol	-3.0	-5.657	2.011	above	none
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.907	0.854	5.805	n.s	none
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	1.322	-0.478	5.018	above	none
C01127	4-Hydroxy-2-oxoglutarate	2.807	5.567	1.867	n.s	none
C06188	Salicin_6-phosphate	5.931	-0.034	6.022	above	none
C05665	3-Aminopropanal	2.0	5.306	1.947	n.s	none
C03058	2-Hydroxyglutaryl-CoA	6.022	5.774	1.875	above	none
C06186	Arbutin	0.585	6.125	0.971	n.s	none
C06187	Arbutin_6-phosphate	4.492	-0.778	5.691	above	none
C18902	Methylselenic_acid	9.116	5.692	1.797	above	none
C03294	N-Formylmethionyl-tRNA	-4.807	-5.717	1.75	above	none
C02051	Lipoylprotein	-4.807	0.992	5.672	n.s	none
C03114	Dimethylbenzimidazole	5.833	5.689	1.771	above	none
C06611	trans-3-Chloro-2-propene-1-ol	0.0	0.0	0.0	n.s	none
C06612	cis-3-Chloro-2-propene-1-ol	0.0	0.0	0.0	n.s	none
C04088	Octadecanoyl-[acyl-carrier_protein]	-7.033	-5.493	1.858	n.s	none
C06614	trans-3-Chloroacrylic_acid	0.0	0.0	0.0	n.s	none
C06615	cis-3-Chloroacrylic_acid	0.0	0.0	0.0	n.s	none
C06755	Chloroacetic_acid	0.0	0.0	0.0	n.s	none
C06754	Chloroacetaldehyde	0.0	0.0	0.0	n.s	none
C00979	O-Acetyl-L-serine	1.858	5.868	1.507	n.s	none
C00877	Crotonoyl-CoA	5.274	-0.292	3.443	above	none
C16273	3-Hydroxy-5-oxohexanoyl-CoA	2.585	-0.153	5.76	above	none
C16272	3-Hydroxy-5-oxohexanoate	0.0	6.013	1.09	n.s	none
C04246	But-2-enoyl-[acyl-carrier_protein]	6.459	-0.215	5.81	above	none
C00409	Methanethiol	0.0	-5.402	1.825	above	*
C03373	Aminoimidazole_ribotide	-5.129	-0.767	6.231	n.s	none
C16074	Phenylacetonitrile	4.807	5.415	1.998	n.s	none
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-2.874	0.516	5.442	n.s	none
C00407	L-Isoleucine	7.022	5.681	2.045	above	none
C01401	Alanine	-4.807	-5.415	1.998	above	none
C01151	D-Ribose_1,5-bisphosphate	-3.459	-5.612	1.846	above	none
C06056	4-Hydroxy-L-threonine	-2.322	-5.605	2.003	above	none
C06506	Adenosyl_cobyrinate_a,c_diamide	0.0	0.0	0.0	n.s	none
C06055	O-Phospho-4-hydroxy-L-threonine	2.322	5.605	2.003	n.s	none
C03479	Folinic_acid	1.585	5.546	1.886	n.s	none
C01412	Butanal	10.718	5.74	1.775	above	*
C06114	gamma-Glutamyl-beta-aminopropiononitrile	-2.807	-5.985	1.796	above	none
C06508	Adenosyl_cobinamide	4.807	-0.034	5.801	above	none
C06509	Adenosyl_cobinamide_phosphate	3.222	-0.042	4.304	above	none
C09332	Tetrahydrofolyl-[Glu](2)	-4.907	-6.21	1.72	above	none
C06032	D-erythro-3-Methylmalate	0.0	-0.597	5.078	above	none
C01157	Hydroxyproline	0.0	0.0	0.0	n.s	none
C02576	Perillyl_aldehyde	2.0	5.306	1.947	n.s	none
C03972	2,3,4,5-Tetrahydrodipicolinate	4.427	-0.965	4.795	above	none
C03974	2-Acyl-sn-glycerol_3-phosphate	-2.585	-5.56	1.87	above	none
C00577	D-Glyceraldehyde	-9.276	-1.106	6.074	n.s	none
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	3.755	1.067	5.903	above	none
C00279	D-Erythrose_4-phosphate	3.901	0.522	5.68	above	none
C13632	4,4'-Dihydroxy-alpha-methylstilbene	0.0	0.0	0.0	n.s	none
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-6.087	-0.386	6.02	n.s	none
C01801	Deoxyribose	0.0	5.467	1.943	n.s	none
C00275	D-Mannose_6-phosphate	-5.741	-0.425	5.873	n.s	none
C00270	N-Acetylneuraminate	6.392	5.533	2.001	above	none
C00900	2-Acetolactate	0.0	-0.095	5.91	above	none
C00479	Propanal	3.459	5.362	2.002	n.s	none
C00475	Cytidine	1.957	-0.01	3.79	above	none
C12215	Iminoerythrose_4-phosphate	-8.308	-5.185	2.171	n.s	none
C12214	Aminofructose_6-phosphate	8.308	5.185	2.171	above	none
C00294	Inosine	6.555	0.508	5.848	above	none
C00295	Orotate	0.0	0.0	0.0	n.s	none
C00357	N-Acetyl-D-glucosamine_6-phosphate	-7.814	-0.168	5.196	n.s	none
C05698	Selenohomocysteine	3.17	1.112	5.748	above	none
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	0.0	-0.448	4.029	above	none
C00353	Geranylgeranyl_diphosphate	-4.17	-5.39	2.093	above	none
C00352	D-Glucosamine_6-phosphate	-4.824	-0.781	5.433	n.s	none
C00299	Uridine	-2.241	-0.478	3.632	n.s	none
C02166	Leukotriene_C4	2.807	5.985	1.796	n.s	none
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	0.0	-0.01	5.772	above	none
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-1.0	0.111	5.059	n.s	none
C05979	Propane-1-ol	-3.459	-5.362	2.002	above	none
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-5.781	-5.883	1.708	above	none
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-5.781	-5.883	1.708	above	none
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.322	5.547	1.638	n.s	none
C05596	p-Hydroxyphenylacetylglycine	-2.585	-5.56	1.87	above	none
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	-0.0	-1.023	5.876	above	none
C04046	3-D-Glucosyl-1,2-diacylglycerol	0.0	0.0	0.0	n.s	none
C05382	Sedoheptulose_7-phosphate	-6.672	0.544	4.811	n.s	none
C00120	Biotin	0.0	-0.673	5.294	above	none
C00121	D-Ribose	0.0	5.467	1.943	n.s	none
C00122	Fumarate	-1.268	0.032	2.85	n.s	none
C00123	L-Leucine	5.954	5.946	1.875	above	none
C00129	Isopentenyl_diphosphate	-3.392	0.041	5.637	n.s	none
C15532	N-Acetyl-L-citrulline	0.0	5.457	2.266	n.s	none
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	0.0	0.0	0.0	n.s	none
C11934	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA	-6.022	-5.774	1.875	n.s	none
C15973	Enzyme_N6-(dihydrolipoyl)lysine	4.568	5.788	1.218	n.s	none
C03028	Thiamin_triphosphate	-5.129	-5.755	1.853	above	none
C05749	Hexanoyl-[acp]	6.629	-0.11	5.639	above	none
C20589	D-Glucosaminate-6-phosphate	0.0	-6.353	0.747	above	*
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.229	-0.456	5.956	n.s	none
C05746	3-Oxohexanoyl-[acp]	-6.807	0.604	5.959	n.s	none
C05745	Butyryl-[acp]	6.629	-0.11	5.639	above	none
C05744	Acetoacetyl-[acp]	-5.229	-0.03	5.563	n.s	none
C03150	Nicotinamide-beta-riboside	6.937	6.19	1.179	above	none
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-5.492	-0.486	5.26	n.s	none
C02091	(S)-Ureidoglycine	-3.585	-5.76	1.671	above	none
C00726	Nitrile	4.807	5.415	1.998	n.s	none
C00055	CMP	0.0	0.0	0.0	n.s	none
C03539	S-Ribosyl-L-homocysteine	-4.248	-0.924	5.714	n.s	none
C00199	D-Ribulose_5-phosphate	0.0	0.193	5.635	n.s	none
C00051	Glutathione	2.807	5.985	1.796	n.s	none
C00052	UDP-alpha-D-galactose	4.1	-0.401	5.181	above	none
C00194	Cobamide_coenzyme	-4.737	-5.948	1.139	above	none
C00197	3-Phospho-D-glycerate	-4.605	-0.841	5.275	n.s	none
C03785	D-Tagatose_1,6-bisphosphate	1.766	0.011	5.837	above	none
C02714	N-Acetylputrescine	-4.087	-5.305	1.941	above	none
C00192	Hydroxylamine	4.17	5.707	1.82	n.s	none
C00354	D-Fructose_1,6-bisphosphate	-6.58	-0.204	3.779	n.s	none
C00011	CO2	7.827	1.059	4.344	above	none
C01118	O-Succinyl-L-homoserine	0.0	0.0	0.0	n.s	none
C01050	UDP-N-acetylmuramate	5.907	-0.946	5.77	above	none
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-5.459	-0.947	5.71	n.s	none
C05130	Imidazole-4-acetaldehyde	2.0	5.306	1.947	n.s	none
C00206	dADP	8.89	-1.478	5.157	above	*
C06156	alpha-D-Glucosamine_1-phosphate	0.0	0.0	0.0	n.s	none
